#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 05 12 30 210  4.1  5.1 99.00 99.00 99.00 999 1015.8  11.4 999.0   9.5 99.0 99.00
2007 01 05 13 00 220  5.7  6.7 99.00 99.00 99.00 999 1015.8  11.8 999.0   9.6 99.0 99.00
2007 01 05 13 30 220  5.7  6.7 99.00 99.00 99.00 999 1015.8  11.5 999.0   9.5 99.0 99.00
2007 01 05 16 30 250  2.6  3.6 99.00 99.00 99.00 999 1015.4  11.4 999.0  10.4 99.0 99.00
2007 01 05 17 00 230  2.6  2.6 99.00 99.00 99.00 999 1014.5  11.1 999.0  10.6 99.0 99.00
2007 01 05 17 30 220  2.6  3.1 99.00 99.00 99.00 999 1014.1  11.3 999.0  10.9 99.0 99.00
2007 01 05 18 00 210  2.6  3.1 99.00 99.00 99.00 999 1013.8  11.4 999.0  11.0 99.0 99.00
2007 01 05 18 30 210  3.1  3.1 99.00 99.00 99.00 999 1013.5  11.4 999.0  11.1 99.0 99.00
2007 01 05 19 00 200  3.1  3.6 99.00 99.00 99.00 999 1013.4  11.3 999.0  11.0 99.0 99.00
2007 01 05 19 30 190  4.1  4.1 99.00 99.00 99.00 999 1013.4  12.0 999.0  11.7 99.0 99.00
2007 01 05 20 00 190  3.6  3.6 99.00 99.00 99.00 999 1013.2  12.5 999.0  12.3 99.0 99.00
2007 01 05 20 30 200  3.1  3.6 99.00 99.00 99.00 999 1013.0  12.5 999.0  12.3 99.0 99.00
2007 01 05 21 00 200  3.6  4.6 99.00 99.00 99.00 999 1013.2  12.3 999.0  12.1 99.0 99.00
2007 01 05 21 30 220  2.6  3.1 99.00 99.00 99.00 999 1013.2  12.6 999.0  12.4 99.0 99.00
2007 01 05 22 00 280  1.5  2.1 99.00 99.00 99.00 999 1013.0  11.9 999.0  11.7 99.0 99.00
2007 01 05 22 30 250  2.1  3.1 99.00 99.00 99.00 999 1013.5  11.5 999.0  11.4 99.0 99.00
2007 01 05 23 00 220  2.6  3.1 99.00 99.00 99.00 999 1013.5  11.5 999.0  11.4 99.0 99.00
2007 01 05 23 30 210  3.1  4.1 99.00 99.00 99.00 999 1013.8  11.3 999.0  11.2 99.0 99.00
2007 01 06 00 00 220  3.1  3.6 99.00 99.00 99.00 999 1013.8  11.6 999.0  11.5 99.0 99.00
2007 01 06 00 30 200  3.1  3.1 99.00 99.00 99.00 999 1013.3  11.3 999.0  11.3 99.0 99.00
2007 01 06 01 00 170  2.6  3.6 99.00 99.00 99.00 999 1012.9  11.8 999.0  11.7 99.0 99.00
2007 01 06 01 30 170  3.1  3.6 99.00 99.00 99.00 999 1012.7  10.9 999.0  10.8 99.0 99.00
2007 01 06 02 00 170  4.1  4.6 99.00 99.00 99.00 999 1012.4  11.0 999.0  10.9 99.0 99.00
2007 01 06 02 30 170  3.1  4.1 99.00 99.00 99.00 999 1012.4  10.5 999.0  10.5 99.0 99.00
2007 01 06 03 00 190  1.5  2.6 99.00 99.00 99.00 999 1012.0  10.4 999.0  10.3 99.0 99.00
2007 01 06 03 30 200  4.1  4.6 99.00 99.00 99.00 999 1011.8  11.4 999.0  11.4 99.0 99.00
2007 01 06 04 00 200  3.1  4.1 99.00 99.00 99.00 999 1011.8  11.2 999.0  11.2 99.0 99.00
2007 01 06 04 30 200  2.6  3.6 99.00 99.00 99.00 999 1010.6  11.0 999.0  11.0 99.0 99.00
