YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 09 07 194 12.6 14.0 99.00 99.00 99.00 999 1016.2   8.5 999.0 999.0 99.0
1999 01 09 08 195 13.1 14.7 99.00 99.00 99.00 999 1015.9   8.6 999.0 999.0 99.0
1999 01 09 09 192 11.2 12.0 99.00 99.00 99.00 999 1015.1   8.7 999.0 999.0 99.0
1999 01 09 10 171 11.4 11.8 99.00 99.00 99.00 999 1013.7   8.4 999.0 999.0 99.0
1999 01 09 11 176 13.5 14.5 99.00 99.00 99.00 999 1012.6   9.2 999.0 999.0 99.0
1999 01 09 12 175 15.3 16.6 99.00 99.00 99.00 999 1012.3   9.5 999.0 999.0 99.0
1999 01 09 13 179 13.1 14.9 99.00 99.00 99.00 999 1011.7   9.6 999.0 999.0 99.0
1999 01 09 14 178 15.6 16.9 99.00 99.00 99.00 999 1010.8  10.3 999.0 999.0 99.0
1999 01 09 15 168 16.1 17.6 99.00 99.00 99.00 999 1009.9   9.9 999.0 999.0 99.0
1999 01 09 16 172 15.5 16.8 99.00 99.00 99.00 999 1008.7  10.4 999.0 999.0 99.0
1999 01 09 17 174 15.6 16.6 99.00 99.00 99.00 999 1007.1  10.3 999.0 999.0 99.0
1999 01 09 18 174 15.9 17.1 99.00 99.00 99.00 999 1005.3  10.1 999.0 999.0 99.0
1999 01 09 19 193 15.0 16.8 99.00 99.00 99.00 999 1005.1  10.6 999.0 999.0 99.0
1999 01 09 20 198 12.4 13.3 99.00 99.00 99.00 999 1003.7  10.4 999.0 999.0 99.0
1999 01 09 21 190 13.1 14.1 99.00 99.00 99.00 999 1003.1  10.1 999.0 999.0 99.0
1999 01 09 22 188 12.4 13.3 99.00 99.00 99.00 999 1002.3   9.8 999.0 999.0 99.0
1999 01 09 23 242 13.4 14.6 99.00 99.00 99.00 999 1003.5   8.4 999.0 999.0 99.0
1999 01 10 00 273 10.5 11.6 99.00 99.00 99.00 999 1004.3   7.4 999.0 999.0 99.0
1999 01 10 01 301 10.7 12.0 99.00 99.00 99.00 999 1006.4   4.0 999.0 999.0 99.0
1999 01 10 02 300 11.3 12.9 99.00 99.00 99.00 999 1008.5   3.0 999.0 999.0 99.0
1999 01 10 03 295 10.8 11.6 99.00 99.00 99.00 999 1010.1   1.9 999.0 999.0 99.0
1999 01 10 04 301 11.5 12.6 99.00 99.00 99.00 999 1011.4   1.1 999.0 999.0 99.0
1999 01 10 05 297 11.9 13.6 99.00 99.00 99.00 999 1012.4    .2 999.0 999.0 99.0
1999 01 10 06 310 12.7 14.3 99.00 99.00 99.00 999 1013.3   -.3 999.0 999.0 99.0
1999 01 10 07 318 11.9 12.8 99.00 99.00 99.00 999 1014.0   -.6 999.0 999.0 99.0
1999 01 10 08 330 10.1 11.8 99.00 99.00 99.00 999 1014.1   -.7 999.0 999.0 99.0
1999 01 10 09 332 14.4 16.4 99.00 99.00 99.00 999 1015.2  -1.4 999.0 999.0 99.0
1999 01 10 10 339 10.7 11.9 99.00 99.00 99.00 999 1015.9  -2.0 999.0 999.0 99.0
1999 01 10 11 345 12.8 14.1 99.00 99.00 99.00 999 1016.8  -2.7 999.0 999.0 99.0
1999 01 10 12 318  8.2  9.5 99.00 99.00 99.00 999 1017.9  -2.7 999.0 999.0 99.0
1999 01 10 13 321  9.2 10.8 99.00 99.00 99.00 999 1018.4  -3.4 999.0 999.0 99.0
1999 01 10 14 319  9.9 11.3 99.00 99.00 99.00 999 1019.2  -4.0 999.0 999.0 99.0
1999 01 10 15 331  9.9 11.7 99.00 99.00 99.00 999 1019.6  -4.1 999.0 999.0 99.0
1999 01 10 16 328  9.4 10.5 99.00 99.00 99.00 999 1019.2  -3.7 999.0 999.0 99.0
1999 01 10 17 320  5.9  6.4 99.00 99.00 99.00 999 1018.5  -3.5 999.0 999.0 99.0
1999 01 10 18 330  6.2  7.6 99.00 99.00 99.00 999 1018.2  -3.2 999.0 999.0 99.0
1999 01 10 19 307  5.7  6.8 99.00 99.00 99.00 999 1018.0  -2.9 999.0 999.0 99.0
1999 01 10 20 319  4.7  6.1 99.00 99.00 99.00 999 1018.5  -2.8 999.0 999.0 99.0
1999 01 10 21 290  5.0  5.8 99.00 99.00 99.00 999 1018.7  -2.7 999.0 999.0 99.0
1999 01 10 22 336  2.4  3.3 99.00 99.00 99.00 999 1018.1  -2.9 999.0 999.0 99.0
1999 01 10 23 340  2.9  3.7 99.00 99.00 99.00 999 1018.3  -2.8 999.0 999.0 99.0
1999 01 11 00 350   .2   .5 99.00 99.00 99.00 999 1018.4  -2.9 999.0 999.0 99.0
1999 01 11 01 296  2.2  2.6 99.00 99.00 99.00 999 1018.2  -2.5 999.0 999.0 99.0
1999 01 11 02 300  4.6  5.3 99.00 99.00 99.00 999 1018.2  -2.9 999.0 999.0 99.0
1999 01 11 03 209  2.8  3.1 99.00 99.00 99.00 999 1017.4  -2.6 999.0 999.0 99.0
1999 01 11 04 209  7.1  7.9 99.00 99.00 99.00 999 1017.3  -2.0 999.0 999.0 99.0
